time;plant_1;tem_1;plant_2;tem_2;plant_3;tem_3
27-01-26 10:26;0;0.2;-0.81;-0.24;0.18;0
27-01-26 10:36;0;0;-0.06;-0.44;-0.82;0
27-01-26 10:46;0;0;-0.06;-0.64;-0.26;0
27-01-26 10:56;0.14;0;-0.82;-0.88;-1.8;0
27-01-26 11:06;-0.06;0;-1.18;-1.09;-0.74;0
27-01-26 11:16;-0.27;0;-1.99;-1.33;-1.61;0
27-01-26 11:26;-0.44;0;-1.73;-1.6;-2.22;0
27-01-26 11:36;-0.96;-0.2;-3.07;-1.87;-2.37;-0.25
27-01-26 11:46;-1.37;-0.55;-2.91;-2.15;-2.53;-0.56
27-01-26 11:56;-1.76;-0.87;-5.34;-2.48;-4.16;-0.87
27-01-26 12:06;-1.8;-1.23;-4.72;-2.74;-4.57;-1.18
27-01-26 12:16;-2.46;-1.58;-5.09;-3.05;-6.89;-1.45
27-01-26 12:26;-2.96;-1.9;-5.02;-3.35;-5.67;-1.74
27-01-26 12:36;-3.24;-2.26;-5.96;-3.66;-6.75;-2.06
27-01-26 12:46;-3.76;-2.61;-6.34;-4;-7.65;-2.39
27-01-26 12:56;-4.04;-2.97;-5.56;-4.33;-7.41;-2.71
27-01-26 13:06;-4.39;-3.33;-7.55;-4.63;-8.39;-3.03
27-01-26 13:16;-4.69;-3.69;-7.28;-4.91;-9.51;-3.3
27-01-26 13:26;-4.77;-4.02;-7.9;-5.21;-10.25;-3.61
27-01-26 13:36;-4.96;-4.35;-8.22;-5.53;-10.74;-3.9
27-01-26 13:46;-5.41;-4.7;-7.8;-5.8;-11.49;-4.18
27-01-26 13:56;-5.53;-5.01;-9.34;-6.08;-11.02;-4.47
27-01-26 14:06;-5.63;-5.29;-9.15;-6.35;-10.48;-4.73
27-01-26 14:16;-5.72;-5.61;-8.27;-6.61;-10.57;-5.01
27-01-26 14:26;-5.57;-5.89;-8.75;-6.91;-11.6;-5.27
27-01-26 14:36;-5.01;-6.19;-9.66;-7.14;-10.93;-5.49
27-01-26 14:46;-4.59;-6.48;-9.68;-7.38;-10.22;-5.73
27-01-26 14:56;-4.73;-6.75;-9.45;-7.59;-11;-5.96
27-01-26 15:06;-4.63;-7;-12.1;-7.8;-10.58;-6.18
27-01-26 15:16;-4.5;-7.23;-10.24;-8.02;-10.11;-6.4
27-01-26 15:26;-4.3;-7.45;-10.85;-8.23;-9.5;-6.63
27-01-26 15:36;-4.36;-7.72;-10.53;-8.47;-9.87;-6.88
27-01-26 15:46;-4.44;-7.95;-10.89;-8.71;-10.33;-7.09
27-01-26 15:56;-4.55;-8.21;-11.59;-8.93;-9.84;-7.32
27-01-26 16:06;-4.72;-8.48;-11.66;-9.16;-11.2;-7.56
27-01-26 16:16;-4.94;-8.73;-12;-9.41;-10.41;-7.81
27-01-26 16:26;-8.04;-9.02;-12.59;-9.64;-12.66;-8.04
27-01-26 16:36;-8.12;-9.27;-18.2;-9.89;-11.75;-8.28
27-01-26 16:46;-14.42;-9.55;-17.88;-10.12;-13.52;-8.52
27-01-26 16:56;-15.39;-9.82;-17.81;-10.4;-11.18;-8.76
27-01-26 17:06;-13.64;-10.13;-17.31;-10.66;-12.23;-9.03
27-01-26 17:16;-15.49;-10.42;-18.18;-10.93;-12.45;-9.27
27-01-26 17:26;-16.91;-10.71;-17.9;-11.22;-13.43;-9.54
27-01-26 17:36;-17.3;-10.99;-17.06;-11.49;-13.44;-9.8
27-01-26 17:46;-17.28;-11.25;-17.82;-11.73;-13.4;-10.04
27-01-26 17:56;-16.99;-11.51;-18.78;-11.99;-14.46;-10.29
27-01-26 18:06;-16.74;-11.83;-18.53;-12.26;-13.82;-10.53
27-01-26 18:16;-15.03;-12.09;-18;-12.49;-14.48;-10.78
27-01-26 18:26;-15.99;-12.35;-17.73;-12.73;-15.26;-11.01
27-01-26 18:36;-16.27;-12.67;-20.53;-13;-14.33;-11.25
27-01-26 18:46;-17.47;-12.92;-18.03;-13.29;-13.95;-11.5
27-01-26 18:56;-18.34;-13.2;-21.74;-13.51;-15.07;-11.74
27-01-26 19:06;-16.19;-13.47;-23.32;-13.74;-15.26;-11.96
27-01-26 19:16;-16.22;-13.75;-22.28;-13.96;-15.23;-12.19
27-01-26 19:26;-17.37;-14.01;-22.87;-14.19;-14.97;-12.43
27-01-26 19:36;-15.79;-14.28;-24.24;-14.46;-14.87;-12.64
27-01-26 19:46;-16.66;-14.57;-23.7;-14.67;-16.52;-12.9
27-01-26 19:56;-15.35;-14.83;-22.94;-14.93;-15.41;-13.12
27-01-26 20:06;-16.53;-15.08;-24.76;-15.14;-16.97;-13.36
27-01-26 20:16;-17.96;-15.35;-24.33;-15.38;-17.08;-13.57
27-01-26 20:26;-18.5;-15.6;-24.9;-15.59;-16.37;-13.79
27-01-26 20:36;-20.05;-15.84;-24.38;-15.81;-15.88;-14
27-01-26 20:46;-17.95;-16.07;-24.88;-16.01;-16.7;-14.21
27-01-26 20:56;-18.37;-16.3;-25.47;-16.2;-16.61;-14.41
27-01-26 21:06;-18.44;-16.54;-23.7;-16.4;-16.43;-14.62
27-01-26 21:16;-19.22;-16.75;-27.98;-16.59;-16.18;-14.82
27-01-26 21:26;-20.41;-16.97;-29.28;-16.78;-16.85;-15.03
27-01-26 21:36;-20.07;-17.19;-27.79;-16.98;-16.53;-15.22
27-01-26 21:46;-20.04;-17.41;-27.06;-17.18;-17.55;-15.42
27-01-26 21:56;-22.11;-17.63;-28.17;-17.36;-17.6;-15.6
27-01-26 22:06;-22.3;-17.81;-26.63;-17.5;-16.87;-15.75
27-01-26 22:16;-21.28;-17.94;-26.82;-17.64;-16.71;-15.89
27-01-26 22:26;-26.65;-18.08;-24.73;-17.79;-17.58;-16.05
27-01-26 22:36;-25.62;-18.2;-25.15;-17.91;-16.64;-16.21
